INSTANCE_DATE,PROCEDURE_EN,IS_FREE_HOLD_EN,AREA_EN,PROP_SB_TYPE_EN,TRANS_VALUE,ACTUAL_AREA,ROOMS_EN,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,PROJECT_EN,price_per_sqm,size_category,value_band
2026-03-06,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Flat,2700000.0,192.96,3 B/R,Damac Properties,Marina Mall,Burj Al Arab,,13992.54,Premium,High-End
2026-03-06,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,890000.0,105.1,2 B/R,Rashidiya Metro Station,City Centre Mirdif,,HDS SUNSTAR 1,8468.13,Spacious,Mid-Market
2026-03-06,Sale,Free Hold,MEYDAN AVENUE,Flat,1530000.0,84.91,1 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,,18019.08,Mid-Size,High-End
2026-03-06,Sale,Free Hold,ARJAN,Flat,817333.0,69.03,1 B/R,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,,11840.26,Mid-Size,Mid-Market
2026-03-06,Sale,Free Hold,BURJ KHALIFA,Flat,2950000.0,101.86,2 B/R,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,FORTE,28961.32,Spacious,High-End
2026-03-06,Sale,Free Hold,DOWN TOWN JABAL ALI,Flat,605000.0,36.29,Studio,UAE Exchange Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,Azizi Aura Residences,16671.26,Compact,Entry
2026-03-06,Sale,Free Hold,DUBAI SPORTS CITY,Flat,400000.0,49.02,Studio,Dubai Internet City,Marina Mall,Sports City Swimming Academy,STADIUM POINT,8159.93,Mid-Size,Entry
2026-03-06,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Flat,1125000.0,66.78,1 B/R,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,LAKE TERRACE,16846.36,Mid-Size,Mid-Market
2026-03-06,Sale,Free Hold,BURJ KHALIFA,Hotel Apartment,8000000.0,157.82,2 B/R,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,THE ADDRESS RESIDENCE - SKY VIEW,50690.66,Premium,Ultra-Premium
2026-03-06,Sale,Free Hold,JUMEIRAH VILLAGE TRIANGLE,Shop,1000000.0,72.03,,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,555 PARK VIEWS,13883.1,Mid-Size,Mid-Market
2026-03-06,Sale,Free Hold,AL FURJAN,Flat,573000.0,38.62,Studio,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,STARZ TOWER by DANUBE,14836.87,Compact,Entry
2026-03-06,Sale,Free Hold,BUSINESS BAY,Office,1734000.0,97.3,Office,Business Bay Metro Station,Dubai Mall,Downtown Dubai,SILVER TOWER,17821.17,Spacious,High-End
2026-03-06,Sale,Free Hold,DUBAI STUDIO CITY,Flat,470000.0,45.51,Studio,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,GLITZ RESIDENCE 1,10327.4,Compact,Entry
2026-03-07,Sale,Free Hold,TOWN SQUARE,Flat,1480000.0,144.51,2 B/R,,,Dubai Cycling Course,TOWN SQUARE ZAHRA,10241.51,Premium,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE TRIANGLE,Flat,450000.0,34.33,Studio,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,AL JAWHARA TOWER,13108.07,Compact,Entry
2026-03-07,Sale,Free Hold,DOWN TOWN JABAL ALI,Flat,530000.0,33.13,Studio,UAE Exchange Metro Station,,Expo 2020 Site,EQUITI GATES,15997.59,Compact,Entry
2026-03-07,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,400000.0,69.23,1 B/R,Rashidiya Metro Station,City Centre Mirdif,,INTERNATIONAL CITY EMARATI,5777.84,Mid-Size,Entry
2026-03-07,Sale,Free Hold,JUMEIRAH VILLAGE TRIANGLE,Flat,525000.0,41.65,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,AL MANARAH TOWER,12605.04,Compact,Entry
2026-03-09,Sale,Free Hold,DUBAI CREEK HARBOUR,Flat,5150000.0,183.25,3 B/R,Creek Metro Station,City Centre Mirdif,Dubai International Airport,Creek Beach - VIDA Residences,28103.68,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,INTERNATIONAL CITY PH 2 & 3,Flat,250000.0,34.75,Studio,Rashidiya Metro Station,City Centre Mirdif,,AL JAWZAA,7194.24,Compact,Entry
2026-03-07,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,406909.0,69.0,1 B/R,Rashidiya Metro Station,City Centre Mirdif,,,5897.23,Mid-Size,Entry
2026-03-07,Sale,Free Hold,DISCOVERY GARDENS,Flat,525000.0,45.0,Studio,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,,11666.67,Compact,Entry
2026-03-07,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1200000.0,107.45,1 B/R,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,THE HAVEN RESIDENCES,11167.99,Spacious,Mid-Market
2026-03-07,Sale,Free Hold,ARJAN,Flat,900000.0,48.28,1 B/R,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,TORINO BY ORO24,18641.26,Mid-Size,Mid-Market
2026-03-07,Sale,Free Hold,SOBHA HEARTLAND,Shop,7500000.0,164.4,,,,,Sobha Hartland - The Crest,45620.44,Premium,Ultra-Premium
2026-03-07,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Flat,1180757.92,137.12,2 B/R,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,Orra The Embankment,8611.13,Premium,Mid-Market
2026-03-08,Sale,Free Hold,DUBAI PRODUCTION CITY,Flat,350000.0,46.17,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,LAGO VISTA,7580.68,Mid-Size,Entry
2026-03-08,Sale,Free Hold,DUBAI LAND RESIDENCE COMPLEX,Flat,612000.0,78.29,1 B/R,,,IMG World Adventures,SKY COURTS,7817.09,Mid-Size,Entry
2026-03-09,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,750000.0,105.1,2 B/R,Rashidiya Metro Station,City Centre Mirdif,,HDS SUNSTAR 1,7136.06,Spacious,Mid-Market
2026-03-08,Sale,Free Hold,DUBAI SPORTS CITY,Office,1026620.0,158.96,Office,Dubai Internet City,Marina Mall,Sports City Swimming Academy,STADIUM POINT,6458.35,Premium,Mid-Market
2026-03-09,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,1620000.0,221.5,3 B/R,Rashidiya Metro Station,City Centre Mirdif,,,7313.77,Premium,High-End
2026-03-09,Sale,Free Hold,PALM JUMEIRAH,Flat,4050000.0,124.32,1 B/R,Palm Jumeirah,Marina Mall,Burj Al Arab,,32577.22,Spacious,Ultra-Premium
2026-03-09,Sale,Free Hold,INTERNATIONAL CITY PH 1,Flat,250000.0,44.0,Studio,Rashidiya Metro Station,City Centre Mirdif,,,5681.82,Compact,Entry
2026-03-09,Sale,Free Hold,DUBAI SPORTS CITY,Flat,400000.0,41.89,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,HAMZA TOWER,9548.82,Compact,Entry
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,840000.0,62.69,1 B/R,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,GHALIA,13399.27,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,AL FURJAN,Flat,730000.0,38.79,Studio,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,Prime Residency 3,18819.28,Compact,Mid-Market
2026-03-09,Sale,Free Hold,BURJ KHALIFA,Flat,2750000.0,96.25,1 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,DT 1,28571.43,Spacious,High-End
2026-03-09,Sale,Free Hold,BUSINESS BAY,Office,1100000.0,57.6,Office,Business Bay Metro Station,Dubai Mall,Downtown Dubai,CHURCHILL TOWER,19097.22,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI CREEK HARBOUR,Flat,2995000.0,98.76,2 B/R,Creek Metro Station,City Centre Mirdif,Dubai International Airport,Creek Beach - Rosewater,30326.04,Spacious,High-End
2026-03-09,Sale,Free Hold,LIWAN,Flat,730000.0,62.08,1 B/R,,,IMG World Adventures,Wavez Residence,11759.02,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1050000.0,140.87,2 B/R,Dubai Internet City,Marina Mall,Sports City Swimming Academy,SEASONS COMMUNITY- AUTUMN,7453.68,Premium,Mid-Market
2026-03-09,Sale,Free Hold,BUSINESS BAY,Flat,1250000.0,39.9,Studio,Business Bay Metro Station,Dubai Mall,Downtown Dubai,Peninsula Three,31328.32,Compact,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI SPORTS CITY,Flat,850000.0,76.37,1 B/R,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,GOLF VIEW RESIDENCE,11130.02,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,Jabal Ali First,Flat,1050000.0,70.38,2 B/R,ENERGY Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,The Nook,14919.01,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Office,4690000.0,130.08,Office,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,JUMEIRAH BUSINESS CENTRE1,36054.74,Premium,Ultra-Premium
2026-03-10,Sale,Free Hold,THE GREENS,Flat,910000.0,40.72,Studio,Dubai Internet City,Marina Mall,Burj Al Arab,,22347.74,Compact,Mid-Market
2026-03-09,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Flat,1320000.0,73.55,1 B/R,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,INDIGO TOWER,17946.97,Mid-Size,Mid-Market
2026-03-10,Sale,Free Hold,DUBAI WATER CANAL,Flat,5150000.0,181.55,2 B/R,Business Bay Metro Station,Dubai Mall,Burj Khalifa,Canal Front Residences-CF5&CF6,28366.84,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,DUBAI HILLS,Flat,2900000.0,149.72,3 B/R,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Burj Al Arab,PARK HEIGHTS II,19369.49,Premium,High-End
2026-03-09,Sale,Free Hold,REMRAAM,Flat,760000.0,61.79,1 B/R,,,Motor City,REMRAAM,12299.72,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,Um Suqaim Third,Flat,4350000.0,120.37,2 B/R,,,,Al Jazi - Madinat Jumeriah Living,36138.57,Spacious,Ultra-Premium
2026-03-09,Sale,Free Hold,DUBAI HILLS,Flat,2560000.0,93.25,2 B/R,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,Park Horizon,27453.08,Spacious,High-End
2026-03-09,Sale,Free Hold,TOWN SQUARE,Flat,2400000.0,240.94,3 B/R,,,Dubai Cycling Course,TOWN SQUARE ZAHRA,9960.99,Premium,High-End
2026-03-09,Sale,Free Hold,AL FURJAN,Hotel Apartment,435400.0,36.4,Studio,ENERGY Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,Montrell Hotel Aprtments,11961.54,Compact,Entry
2026-03-09,Sale,Free Hold,DUBAI SPORTS CITY,Flat,880000.0,107.93,2 B/R,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,HAMZA TOWER,8153.43,Spacious,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI MARINA,Flat,1850000.0,98.66,1 B/R,Mina Seyahi,Marina Mall,Burj Al Arab,PRINCESS TOWER,18751.27,Spacious,High-End
2026-03-09,Sale,Free Hold,DUBAI LAND RESIDENCE COMPLEX,Flat,610000.0,78.29,1 B/R,,,IMG World Adventures,SKY COURTS,7791.54,Mid-Size,Entry
2026-03-09,Sale,Free Hold,DAMAC HILLS,Flat,1075000.0,59.66,1 B/R,,,Motor City,DAMAC HILLS - GOLF GATE,18018.77,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,Al Barsha First,Flat,1000000.0,78.85,1 B/R,Sharaf Dg Metro Station,Mall of the Emirates,Burj Al Arab,,12682.31,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Flat,1075000.0,78.3,1 B/R,Damac Properties,Marina Mall,Burj Al Arab,V3,13729.25,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI PRODUCTION CITY,Flat,570000.0,63.71,1 B/R,Damac Properties,Marina Mall,Sports City Swimming Academy,LAKESIDE,8946.79,Mid-Size,Entry
2026-03-09,Sale,Free Hold,TOWN SQUARE,Flat,1240000.0,87.44,2 B/R,,,Dubai Cycling Course,TOWN SQUARE JENNA AND WARDA,14181.15,Mid-Size,Mid-Market
2026-03-11,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1674534.0,218.3,2 B/R,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,VILLA MYRA,7670.79,Premium,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1000000.0,62.07,1 B/R,Dubai Internet City,Marina Mall,Sports City Swimming Academy,Binghatti Emerald,16110.84,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,THE GREENS,Flat,3740000.0,193.1,3 B/R,Dubai Internet City,Marina Mall,Burj Al Arab,,19368.2,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,DUBAI LAND RESIDENCE COMPLEX,Flat,710000.0,69.94,1 B/R,,,IMG World Adventures,DURAR1,10151.56,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI WATER CANAL,Flat,4900000.0,124.51,2 B/R,Business Bay Metro Station,Dubai Mall,Burj Khalifa,Canal Front Residences CF1 & CF2,39354.27,Spacious,Ultra-Premium
2026-03-09,Sale,Free Hold,AL FURJAN,Flat,2450000.0,213.14,3 B/R,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Sports City Swimming Academy,EQUITI RESIDENCE,11494.79,Premium,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,700000.0,36.63,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,EATON PLACE,19110.02,Compact,Mid-Market
2026-03-09,Sale,Free Hold,BUSINESS BAY,Flat,1500000.0,123.0,2 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,PARK CENTRAL,12195.12,Spacious,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1132397.0,84.74,1 B/R,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Binghatti Phantom,13363.19,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DISCOVERY GARDENS,Flat,830000.0,89.0,1 B/R,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,,9325.84,Spacious,Mid-Market
2026-03-09,Sale,Free Hold,BUSINESS BAY,Shop,2000000.0,77.7,Shop,Business Bay Metro Station,Dubai Mall,Downtown Dubai,CAPITAL BAY  A,25740.03,Mid-Size,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1100000.0,75.96,1 B/R,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,AVANOS,14481.31,Mid-Size,Mid-Market
2026-01-02,Sale,Free Hold,DUBAI SPORTS CITY,Flat,395000.0,37.3,Studio,Dubai Internet City,Marina Mall,Sports City Swimming Academy,Hera Tower,10589.81,Compact,Entry
2026-03-09,Sale,Free Hold,JUMEIRAH LAKES TOWERS,Flat,1930000.0,76.6,1 B/R,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,MBL Royal,25195.82,Mid-Size,High-End
2026-03-09,Sale,Free Hold,MBR DISTRICT 1,Flat,1550000.0,69.25,1 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 15",22382.67,Mid-Size,High-End
2026-03-09,Sale,Free Hold,Wadi Al Safa 7,Flat,850000.0,82.01,2 B/R,,,,RUKAN,10364.59,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,ARJAN,Flat,475000.0,32.91,Studio,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,SAMANA HILLS,14433.3,Compact,Entry
2026-03-09,Sale,Free Hold,DUBAI PRODUCTION CITY,Flat,460000.0,46.36,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,THE CRESCENT,9922.35,Mid-Size,Entry
2026-03-09,Sale,Free Hold,THE GREENS,Flat,2825000.0,121.52,2 B/R,Nakheel Metro Station,Marina Mall,Burj Al Arab,TANARO,23247.2,Spacious,High-End
2026-03-09,Sale,Free Hold,SILICON OASIS,Flat,1135000.0,81.68,1 B/R,,,,Pearls by Vision,13895.69,Mid-Size,Mid-Market
2026-03-10,Sale,Free Hold,REMRAAM,Flat,1300000.0,139.19,2 B/R,,,Motor City,REMRAAM,9339.75,Premium,Mid-Market
2026-03-09,Sale,Free Hold,Jumeirah First,Flat,4990000.0,118.34,2 B/R,,,,PORT DE LA MER - LE SOLEIL,42166.64,Spacious,Ultra-Premium
2026-03-09,Sale,Free Hold,PALM JUMEIRAH,Flat,4650000.0,183.3,2 B/R,Mina Seyahi,Marina Mall,Burj Al Arab,EMERALD PALACE KEMPINSKI,25368.25,Premium,Ultra-Premium
2026-03-16,Sale,Free Hold,MAJAN,Flat,687507.0,43.45,Studio,,,IMG World Adventures,,15822.95,Compact,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI LAND RESIDENCE COMPLEX,Flat,600000.0,78.29,1 B/R,,,IMG World Adventures,SKY COURTS,7663.81,Mid-Size,Entry
2026-03-09,Sale,Free Hold,BUSINESS BAY,Flat,1177292.0,89.19,1 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,SAFEER TOWER 1,13199.82,Spacious,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI SOUTH,Flat,699999.0,61.55,1 B/R,,,Expo 2020 Site,MAG 5 BOULEVARD,11372.85,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DOWN TOWN JABAL ALI,Flat,1070000.0,150.04,3 B/R,UAE Exchange Metro Station,Ibn-e-Battuta Mall,Expo 2020 Site,SUBERBIA,7131.43,Premium,Mid-Market
2026-03-09,Sale,Free Hold,MAJAN,Flat,1400000.0,92.59,2 B/R,,,IMG World Adventures,THE HAVEN,15120.42,Spacious,Mid-Market
2026-01-09,Sale,Free Hold,DUBAI STUDIO CITY,Flat,67112.56,55.85,1 B/R,Sharaf Dg Metro Station,,Motor City,LAYA HEIGHTS,1201.66,Mid-Size,Entry
2026-03-09,Sale,Free Hold,REMRAAM,Flat,500000.0,43.52,Studio,,,Motor City,REMRAAM,11488.97,Compact,Entry
2026-03-10,Sale,Free Hold,DUBAI MARINA,Flat,1525000.0,78.76,1 B/R,Marina Towers,Marina Mall,Burj Al Arab,DAMAC HEIGHTS,19362.62,Mid-Size,High-End
2026-03-09,Sale,Free Hold,BUSINESS BAY,Office,2100000.0,113.06,Office,Business Bay Metro Station,Dubai Mall,Downtown Dubai,IRIS BAY,18574.21,Spacious,High-End
2026-03-09,Sale,Free Hold,DUBAI LAND RESIDENCE COMPLEX,Flat,890000.0,72.05,1 B/R,,,IMG World Adventures,,12352.53,Mid-Size,Mid-Market
2026-03-10,Sale,Free Hold,BUSINESS BAY,Flat,1525000.0,75.23,1 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,AL HABTOOR CITY,20271.17,Mid-Size,High-End
2026-03-09,Sale,Free Hold,Marsa Dubai,Flat,6100000.0,202.1,3 B/R,Marina Towers,Marina Mall,Burj Al Arab,JUMEIRAH LIVING MARINA GATE,30183.08,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,810000.0,38.6,Studio,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,BELGRAVIA HEIGHTS II,20984.46,Compact,Mid-Market
2026-03-09,Sale,Free Hold,Marsa Dubai,Flat,4500000.0,141.12,2 B/R,Marina Towers,Marina Mall,Burj Al Arab,JUMEIRAH LIVING MARINA GATE,31887.76,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,LA MER,Flat,2300000.0,76.1,1 B/R,Trade Centre Metro Station,Dubai Mall,Burj Khalifa,Port De La Mer - La Sirene 2,30223.39,Mid-Size,High-End
2026-01-09,Sale,Free Hold,DUBAI SPORTS CITY,Flat,675613.0,68.39,Studio,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,THE MATRIX,9878.83,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,LIWAN,Flat,870000.0,78.54,1 B/R,,,IMG World Adventures,,11077.16,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI SOUTH,Flat,750000.0,70.07,1 B/R,,,Expo 2020 Site,,10703.58,Mid-Size,Mid-Market
2026-03-18,Sale,Free Hold,JUMEIRAH LIVING,Flat,12000000.0,364.67,4 B/R,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Burj Al Arab,Asayel at Madinat Jumeirah Living,32906.46,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,ARJAN,Flat,680000.0,34.19,Studio,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,Vincitore Benessere,19888.86,Compact,Mid-Market
2026-03-09,Sale,Free Hold,JADDAF WATERFRONT,Flat,2000000.0,96.4,1 B/R,Al Jadaf Metro Station,City Centre Mirdif,Dubai International Airport,D1,20746.89,Spacious,High-End
2026-03-09,Sale,Free Hold,ARJAN,Flat,1065000.0,65.94,1 B/R,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,,16151.05,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI MARINA,Flat,6859821.0,417.88,5 B/R,Mina Seyahi,Marina Mall,Burj Al Arab,OCEAN HEIGHTS,16415.77,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,635000.0,36.66,Studio,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,ELYSEE II by PANTHEON,17321.33,Compact,Entry
2026-03-09,Sale,Free Hold,DUBAI MARINA,Flat,7800000.0,207.82,3 B/R,Marina Towers,Marina Mall,Burj Al Arab,,37532.48,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,DUBAI SOUTH,Flat,680000.0,59.65,1 B/R,,,Expo 2020 Site,,11399.83,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI PRODUCTION CITY,Flat,590000.0,62.36,1 B/R,Damac Properties,Marina Mall,Sports City Swimming Academy,LAKESIDE,9461.19,Mid-Size,Entry
2026-03-09,Sale,Free Hold,DUBAI SOUTH,Flat,650000.0,59.33,1 B/R,,,Expo 2020 Site,,10955.67,Mid-Size,Mid-Market
2026-03-09,Sale,Free Hold,DUBAI MARINA,Flat,2300000.0,81.75,1 B/R,Marina Mall Metro Station,Marina Mall,Burj Al Arab,DUBAI MARINA MALL,28134.56,Mid-Size,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE TRIANGLE,Flat,525000.0,39.53,Studio,Damac Properties,Marina Mall,Sports City Swimming Academy,AL MANARAH TOWER,13281.05,Compact,Entry
2026-03-09,Sale,Free Hold,THE GREENS,Flat,2870000.0,123.47,2 B/R,Nakheel Metro Station,Marina Mall,Burj Al Arab,,23244.51,Spacious,High-End
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,630000.0,28.07,Studio,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Binghatti Tulip,22443.89,Compact,Entry
2026-01-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,900000.0,112.77,1 B/R,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,FORTUNATO,7980.85,Spacious,Mid-Market
2026-03-16,Sale,Free Hold,MAJAN,Flat,692184.0,43.45,Studio,,,IMG World Adventures,,15930.59,Compact,Mid-Market
2026-03-09,Sale,Free Hold,LIWAN,Flat,1008000.0,88.24,1 B/R,,,IMG World Adventures,,11423.39,Spacious,Mid-Market
2026-03-09,Sale,Free Hold,BUSINESS BAY,Flat,4133000.0,240.21,3 B/R,Business Bay Metro Station,Dubai Mall,Downtown Dubai,The Paragon By IGO,17205.78,Premium,Ultra-Premium
2026-03-09,Sale,Free Hold,JUMEIRAH VILLAGE CIRCLE,Flat,1145882.35,62.79,1 B/R,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,Binghatti Amber,18249.44,Mid-Size,Mid-Market
